Faculty_ID,Teaching_Hours,Advising_Students,Committee_Count,Research_Hours,Admin_Hours,Semester_Progress,Historical_Leave_Days,Workload_Score,Pressure_Score,Burnout_Risk
FAC_001,14,23,7,10,4,0.07,8,0.48769841269841274,0.3658531746031746,Low
FAC_002,27,12,6,4,14,0.24,4,0.5726190476190476,0.4413822751322751,Medium
FAC_003,22,29,3,12,15,0.06,3,0.6738095238095239,0.4100661375661377,Medium
FAC_004,18,6,5,7,9,0.67,1,0.38809523809523805,0.3925132275132275,Low
FAC_005,15,2,6,3,14,0.9,0,0.3567460317460317,0.4114616402116402,Medium
FAC_006,28,9,1,8,14,0.28,10,0.49960317460317455,0.5022288359788359,Medium
FAC_007,14,22,2,19,7,0.93,6,0.5055555555555556,0.5622222222222223,Medium
FAC_008,33,29,0,3,1,0.11,5,0.4817460317460317,0.40354497354497354,Medium
FAC_009,26,13,4,18,14,0.94,14,0.6813492063492064,0.7949404761904761,High
FAC_010,30,13,4,12,12,0.38,14,0.6376984126984128,0.6501124338624339,High
FAC_011,18,6,3,13,4,0.15,1,0.35833333333333334,0.24912037037037038,Low
FAC_012,18,8,1,20,4,0.51,15,0.40753968253968254,0.5479298941798942,Medium
FAC_013,31,5,7,8,9,0.29,7,0.5793650793650793,0.5117328042328042,Medium
FAC_014,28,7,0,7,6,0.32,10,0.36706349206349204,0.45258597883597884,Medium
FAC_015,11,14,1,2,9,0.34,3,0.22619047619047622,0.2378968253968254,Low
FAC_016,15,21,0,18,12,0.81,7,0.5091269841269842,0.5508664021164021,Medium
FAC_017,31,16,3,12,15,0.56,14,0.680952380952381,0.7182804232804234,High
FAC_018,10,4,3,19,6,0.35,15,0.3432539682539682,0.4493716931216931,Medium
FAC_019,29,24,7,18,6,0.63,6,0.7718253968253969,0.6625992063492063,High
FAC_020,28,9,4,8,5,0.73,4,0.4674603174603174,0.5202645502645502,Medium
FAC_021,9,21,1,18,5,0.31,9,0.3888888888888889,0.3762037037037037,Low
FAC_022,31,17,5,10,2,0.44,9,0.5694444444444444,0.5714351851851851,Medium
FAC_023,19,14,4,18,8,0.17,11,0.5464285714285714,0.47580026455026453,Medium
FAC_024,13,19,1,9,8,0.22,7,0.3511904761904762,0.3248875661375662,Low
